Sample in Buffer,Sample in Window,TRIGGER,design_1_i/xlslice_bit0_Dout,design_1_i/xlslice_bit1_Dout,design_1_i/hier_0_test,design_1_i/hier_0_dout_mem,design_1_i/hier_0_dout_fifo,design_1_i/New_cdr_A_dout10b[9:0],design_1_i/dv_1[1:0],design_1_i/d_in_1[1:0],design_1_i/hier_0_address[13:0],design_1_i/address_counter_0_address[13:0],design_1_i/h_bert_Q[31:0]
7861,7861,0,0,0,1,1,0,1111111111,3,1,16f6,0000,13185
7862,7862,0,0,0,1,0,0,1111111111,3,1,16f7,0000,13186
7863,7863,0,0,0,1,0,1,1111111111,3,1,16f8,0000,13187
7864,7864,0,0,0,1,1,1,1111111111,3,1,16f9,0000,13187
7865,7865,0,0,0,1,1,1,1111111111,3,1,16fa,0000,13188
7866,7866,0,0,0,1,1,1,1111111111,3,1,16fb,0000,13188
7867,7867,0,0,0,1,1,1,1111111111,3,1,16fc,0000,13188
7868,7868,0,0,0,1,1,0,1111111111,3,1,16fd,0000,13188
7869,7869,0,0,0,1,0,1,1111111111,3,1,16fe,0000,13188
7870,7870,0,0,0,1,1,1,1111111111,0,0,16ff,0000,13189
7871,7871,0,0,0,1,1,1,1111111111,3,1,1700,0000,13190
7872,7872,0,0,0,1,1,1,1111111111,3,1,1701,0000,13190
7873,7873,0,0,0,1,1,0,1111111111,3,1,1702,0000,13190
7874,7874,0,0,0,1,0,1,1111111111,3,1,1703,0000,13190
7875,7875,0,0,0,1,1,1,1111111111,3,1,1704,0000,13191
7876,7876,0,0,0,1,1,1,1111111111,3,1,1705,0000,13192
7877,7877,0,0,0,1,1,1,1111111111,3,1,1706,0000,13192
7878,7878,0,0,0,1,1,0,1111111111,3,1,1707,0000,13192
7879,7879,0,0,0,1,0,1,1111111111,3,1,1708,0000,13192
7880,7880,0,0,0,1,1,1,1111111111,3,3,1709,0000,13193
7881,7881,0,0,0,1,1,1,1111111111,3,1,170a,0000,13194
7882,7882,0,0,0,1,1,1,1111111111,3,1,170b,0000,13194
7883,7883,0,0,0,1,1,0,1111111111,3,1,170c,0000,13194
7884,7884,0,0,0,1,0,0,1111111111,3,1,170d,0000,13194
7885,7885,0,0,0,1,0,1,1111111111,3,1,170e,0000,13195
7886,7886,0,0,0,1,1,0,1111111111,3,1,170f,0000,13195
7887,7887,0,0,0,1,0,1,1111111111,3,1,1710,0000,13196
7888,7888,0,0,0,1,1,0,1111111111,3,1,1711,0000,13197
7889,7889,0,0,0,1,0,0,1111111111,3,1,1712,0000,13198
